DATE,CUSR0000SEFV
1953-01-01,21.400
1953-02-01,21.400
1953-03-01,21.500
1953-04-01,21.400
1953-05-01,21.400
1953-06-01,21.500
1953-07-01,21.500
1953-08-01,21.500
1953-09-01,21.600
1953-10-01,21.700
1953-11-01,21.700
1953-12-01,21.800
1954-01-01,21.800
1954-02-01,21.800
1954-03-01,21.800
1954-04-01,21.900
1954-05-01,21.900
1954-06-01,21.900
1954-07-01,22.000
1954-08-01,21.900
1954-09-01,22.000
1954-10-01,21.900
1954-11-01,21.900
1954-12-01,22.000
1955-01-01,22.000
1955-02-01,22.000
1955-03-01,22.100
1955-04-01,22.100
1955-05-01,22.100
1955-06-01,22.100
1955-07-01,22.100
1955-08-01,22.200
1955-09-01,22.200
1955-10-01,22.300
1955-11-01,22.300
1955-12-01,22.300
1956-01-01,22.300
1956-02-01,22.300
1956-03-01,22.400
1956-04-01,22.400
1956-05-01,22.500
1956-06-01,22.500
1956-07-01,22.500
1956-08-01,22.600
1956-09-01,22.700
1956-10-01,22.800
1956-11-01,22.800
1956-12-01,22.900
1957-01-01,23.000
1957-02-01,23.100
1957-03-01,23.200
1957-04-01,23.200
1957-05-01,23.300
1957-06-01,23.400
1957-07-01,23.400
1957-08-01,23.500
1957-09-01,23.600
1957-10-01,23.700
1957-11-01,23.800
1957-12-01,23.800
1958-01-01,23.800
1958-02-01,23.900
1958-03-01,24.000
1958-04-01,24.000
1958-05-01,24.000
1958-06-01,24.200
1958-07-01,24.200
1958-08-01,24.200
1958-09-01,24.300
1958-10-01,24.200
1958-11-01,24.300
1958-12-01,24.300
1959-01-01,24.400
1959-02-01,24.500
1959-03-01,24.500
1959-04-01,24.600
1959-05-01,24.700
1959-06-01,24.800
1959-07-01,24.900
1959-08-01,24.900
1959-09-01,25.000
1959-10-01,25.000
1959-11-01,25.100
1959-12-01,25.100
1960-01-01,25.200
1960-02-01,25.300
1960-03-01,25.300
1960-04-01,25.400
1960-05-01,25.400
1960-06-01,25.400
1960-07-01,25.500
1960-08-01,25.500
1960-09-01,25.500
1960-10-01,25.500
1960-11-01,25.600
1960-12-01,25.700
1961-01-01,25.700
1961-02-01,25.800
1961-03-01,25.800
1961-04-01,25.900
1961-05-01,25.900
1961-06-01,25.900
1961-07-01,26.000
1961-08-01,26.000
1961-09-01,26.200
1961-10-01,26.200
1961-11-01,26.300
1961-12-01,26.300
1962-01-01,26.300
1962-02-01,26.400
1962-03-01,26.500
1962-04-01,26.500
1962-05-01,26.600
1962-06-01,26.700
1962-07-01,26.800
1962-08-01,26.900
1962-09-01,26.800
1962-10-01,26.900
1962-11-01,27.000
1962-12-01,27.000
1963-01-01,27.100
1963-02-01,27.200
1963-03-01,27.200
1963-04-01,27.200
1963-05-01,27.300
1963-06-01,27.300
1963-07-01,27.300
1963-08-01,27.300
1963-09-01,27.400
1963-10-01,27.500
1963-11-01,27.500
1963-12-01,27.500
1964-01-01,27.600
1964-02-01,27.600
1964-03-01,27.700
1964-04-01,27.800
1964-05-01,27.800
1964-06-01,27.800
1964-07-01,27.800
1964-08-01,27.800
1964-09-01,27.800
1964-10-01,27.900
1964-11-01,27.900
1964-12-01,27.900
1965-01-01,28.000
1965-02-01,28.000
1965-03-01,28.100
1965-04-01,28.200
1965-05-01,28.200
1965-06-01,28.300
1965-07-01,28.300
1965-08-01,28.500
1965-09-01,28.600
1965-10-01,28.700
1965-11-01,28.800
1965-12-01,28.900
1966-01-01,29.000
1966-02-01,29.100
1966-03-01,29.300
1966-04-01,29.300
1966-05-01,29.500
1966-06-01,29.700
1966-07-01,29.800
1966-08-01,29.900
1966-09-01,30.000
1966-10-01,30.100
1966-11-01,30.300
1966-12-01,30.400
1967-01-01,30.600
1967-02-01,30.800
1967-03-01,30.800
1967-04-01,31.000
1967-05-01,31.100
1967-06-01,31.200
1967-07-01,31.300
1967-08-01,31.400
1967-09-01,31.500
1967-10-01,31.600
1967-11-01,31.800
1967-12-01,31.900
1968-01-01,32.000
1968-02-01,32.200
1968-03-01,32.300
1968-04-01,32.400
1968-05-01,32.600
1968-06-01,32.800
1968-07-01,32.900
1968-08-01,33.100
1968-09-01,33.300
1968-10-01,33.400
1968-11-01,33.600
1968-12-01,33.700
1969-01-01,33.800
1969-02-01,34.000
1969-03-01,34.100
1969-04-01,34.300
1969-05-01,34.500
1969-06-01,34.700
1969-07-01,34.900
1969-08-01,35.100
1969-09-01,35.300
1969-10-01,35.600
